Count,epoch,batch_size,lr,dropout,hidden_layer_number,hidden_neurons,activate function,weight_decay,acc,precision,recall,f1,Loss,is_standard,Dimensionality_reduction_method,Time
1,200,128,0.001,0.2,1,[32],relu,1e-05,0.9666666666666667,0.9666061258206164,0.9652373913349523,0.9654346720344478,False,0.6888888888888889,PCA,3.129110097885132
2,200,256,0.001,0.2,1,[32],relu,1e-05,0.9666666666666667,0.9665286661342417,0.9659080350543766,0.965702583629664,False,0.7194444444444444,PCA,2.192999839782715
3,200,128,0.001,0.2,1,[32],relu,1e-05,0.9694444444444444,0.9692976702876273,0.9685202196177807,0.9683407480301904,False,0.44166666666666665,PCA,3.0952298641204834
4,200,128,0.001,0.2,5,[32 32 32 32 32],relu,1e-05,0.9666666666666667,0.9684586177412576,0.9666367507830923,0.9667594837427689,False,0.9861111111111112,PCA,5.564551830291748
5,200,256,0.001,0.2,5,[32 32 32 32 32],relu,1e-05,0.975,0.9743798503887826,0.9749700841164255,0.974372985011086,False,0.5361111111111111,PCA,3.5475010871887207
6,200,128,0.001,0.2,6,[32 32 32 32 32 32],relu,1e-05,0.9472222222222222,0.9468840404198751,0.9460909832861052,0.9458463219440721,False,0.9277777777777778,PCA,5.885325193405151
