Count,epoch,batch_size,lr,dropout,conv_layers,channle_numbers,conv_kernel_size,conv_stride,pooling_kernel_size,pooling_stride,flatten,activate function,mse,rmse,mae,mape,r2,r2_adjusted,rmsle,is_standard,Dimensionality_reduction_method,Time
1,300,256,[0.001 1e-05 1e-07],0,2,[32 32],3,1,2,2,1024,relu,80.40225820489572,8.966730630775952,6.0601377374985645,24.07459926937897,0.23157562262252296,-76.61086211512519,0.30871005943421376,False,9.233185052871704,None
2,300,256,[0.001 1e-05 1e-07],0,2,[64 32],3,1,2,2,1024,relu,80.5790914645199,8.976585735373996,6.0846212592779425,24.196637120973648,0.229885583182585,-76.78155609855891,0.3084083307051,False,17.116451025009155,None
