Count,epoch,batch_size,lr,dropout,hidden_layer_number,hidden_neurons,activate function,mse,rmse,mae,mape,r2,r2_adjusted,rmsle,is_standard,Dimensionality_reduction_method,Time
1,1000,256,[0.001 1e-05 1e-07],0,2,[128 64],relu,24.23558724309878,4.922965289650008,3.574497972750195,14.59784867543052,0.7683744654261249,0.7341570569095297,0.17260565218765334,False,None,3.874774932861328
2,1000,256,[0.001 1e-05 1e-07],0,2,[64 32],relu,27.316256363508064,5.226495610206523,3.5776720981971892,14.266662249107268,0.7389317444925432,0.7003648431107599,0.17816779290496848,False,None,3.6484830379486084
